"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
1,4,1,2,1,2,1,3,2,4
3,4,3,5,2,4,3,2,7,4
1,6,1,7,2,3,4,6,4,8
0,2,1,0,1,0,1,0,1,1
7,12,4,10,10,5,8,11,13,23
2,3,3,4,2,4,2,4,7,6
1,5,1,4,3,5,0,1,5,7
1,1,1,3,2,3,1,2,5,2
14,17,8,20,9,14,10,9,29,16
2,8,0,3,1,3,0,2,6,2
1,4,2,1,0,2,2,2,2,2
2,8,3,7,1,7,4,4,8,6
4,7,2,5,5,4,4,6,7,8
1,11,2,7,6,4,6,11,13,20
1,3,1,1,1,2,1,6,4,6
4,5,3,7,5,9,1,8,13,9
0,3,0,3,2,1,0,3,2,6
0,2,0,0,0,1,0,1,0,3
4,2,2,7,0,4,2,0,8,3
1,0,0,0,1,2,0,2,3,6
3,3,4,4,3,3,3,4,6,7
6,4,3,5,2,7,1,3,9,5
9,18,4,14,16,10,9,24,20,36
0,5,0,4,3,1,1,5,1,6
3,3,4,3,2,4,1,3,8,7
6,1,5,6,1,5,3,5,9,8
1,4,1,2,1,1,0,2,3,3
0,3,1,0,1,0,1,1,2,1
1,6,1,2,2,3,2,4,3,5
4,4,3,4,7,7,3,8,10,12
3,3,1,2,1,3,2,4,6,8
6,10,4,7,7,10,7,8,18,18
0,5,1,2,5,4,3,6,5,11
0,3,0,3,2,4,1,4,8,5
2,5,2,3,1,3,0,4,7,4
2,5,3,3,4,3,2,4,6,5
15,19,5,21,16,23,10,26,35,40
0,4,0,0,1,0,0,1,1,5
7,5,6,5,3,5,3,4,14,8
1,0,0,2,0,3,1,2,3,4
4,7,3,4,6,4,4,6,5,13
8,26,8,17,18,13,17,26,28,47
5,4,2,6,3,11,4,7,15,16
5,3,4,3,2,3,2,5,9,5
2,11,2,4,7,4,4,8,3,13
1,8,0,5,8,3,8,10,6,20
2,8,1,3,3,2,4,6,4,7
5,11,9,14,10,12,9,9,21,28
5,2,4,4,2,5,1,3,12,5
1,2,1,1,2,2,1,2,2,4
4,4,2,4,2,5,1,3,9,3
2,9,1,6,4,9,2,8,9,9
5,14,4,7,10,7,8,12,14,19
0,3,2,0,2,1,2,7,6,5
1,2,2,2,0,3,0,0,6,2
1,3,0,3,3,4,2,2,4,7
3,7,2,3,4,3,3,5,5,6
